City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,City Description
211,Port Lincoln,AU,2022-01-24 15:30:25,-34.7333,135.8667,68.94,88,66,5.7,broken clouds
212,Kamina,CD,2022-01-24 15:32:03,-8.7386,24.9906,73.13,84,69,2.08,light rain
213,Puerto Ayora,EC,2022-01-24 15:32:03,-0.7393,-90.3518,82.36,77,94,8.39,overcast clouds
214,Svetlogorsk,BY,2022-01-24 15:32:03,52.6333,29.7333,9.52,98,40,3.04,scattered clouds
215,Kichera,RU,2022-01-24 15:32:04,55.9375,110.0997,-4.61,89,85,3.91,overcast clouds
216,San Francisco,US,2022-01-24 15:27:34,37.7749,-122.4194,53.53,81,20,3.0,few clouds
217,Peredovaya,RU,2022-01-24 15:32:04,44.1172,41.4756,29.43,97,95,3.04,snow
218,Narva-Joesuu,EE,2022-01-24 15:32:05,59.4589,28.0408,33.69,92,100,15.19,overcast clouds
219,Hervey Bay,AU,2022-01-24 15:32:05,-25.2986,152.8535,74.03,84,97,3.0,moderate rain
220,Yarada,IN,2022-01-24 15:32:06,17.65,83.2667,75.52,88,40,2.3,mist
221,Linhares,BR,2022-01-24 15:32:06,-19.3911,-40.0722,87.17,50,99,6.15,overcast clouds
222,Clyde River,CA,2022-01-24 15:32:06,70.4692,-68.5914,-1.97,84,100,29.93,snow
223,Tasiilaq,GL,2022-01-24 15:32:07,65.6145,-37.6368,19.56,59,100,12.91,overcast clouds
224,Progreso,MX,2022-01-24 15:32:07,21.2833,-89.6667,76.1,61,1,8.7,clear sky
225,Cidreira,BR,2022-01-24 15:32:07,-30.1811,-50.2056,85.91,66,36,8.77,scattered clouds
226,Opuwo,NA,2022-01-24 15:32:08,-18.0607,13.84,89.47,20,73,15.41,broken clouds
227,Oceanside,US,2022-01-24 15:29:55,33.1959,-117.3795,58.39,53,0,3.44,clear sky
228,Rapar,IN,2022-01-24 15:32:08,23.5667,70.6333,62.19,28,0,5.44,clear sky
229,Brcko,BA,2022-01-24 15:32:09,44.8728,18.8083,31.14,54,3,2.95,clear sky
230,Cooma,AU,2022-01-24 15:32:09,-36.2333,149.1333,56.97,100,75,8.05,broken clouds
231,Tshikapa,CD,2022-01-24 15:32:09,-6.4167,20.8,80.06,81,35,3.58,light rain
232,Luang Prabang,LA,2022-01-24 15:33:10,19.8856,102.1347,61.5,72,2,0.67,clear sky
233,Mirabad,AF,2022-01-24 15:33:10,30.4362,61.8383,49.48,37,0,5.14,clear sky
234,Nalut,LY,2022-01-24 15:33:10,30.3333,10.85,52.38,38,17,9.84,few clouds
235,Port Elizabeth,ZA,2022-01-24 15:33:01,-33.918,25.5701,79.11,73,0,33.38,clear sky
236,Kahului,US,2022-01-24 15:32:22,20.8947,-156.47,71.83,77,0,10.36,clear sky
237,Nanortalik,GL,2022-01-24 15:33:11,60.1432,-45.2371,27.28,88,100,3.53,overcast clouds
238,Axim,GH,2022-01-24 15:33:11,4.8699,-2.2405,84.34,64,80,11.45,broken clouds
239,Fayaoue,NC,2022-01-24 15:33:11,-20.65,166.5333,79.48,80,97,7.18,overcast clouds
240,Akhtubinsk,RU,2022-01-24 15:33:12,48.2795,46.1722,27.75,92,100,13.65,overcast clouds
241,Tazovskiy,RU,2022-01-24 15:33:12,67.4667,78.7,-2.18,98,63,9.57,broken clouds
242,Chamba,IN,2022-01-24 15:33:12,32.5667,76.1333,41.14,80,62,7.34,broken clouds
243,Narasimharajapura,IN,2022-01-24 15:33:13,13.6167,75.5167,58.77,85,3,3.31,clear sky
244,Santa Vitoria,BR,2022-01-24 15:33:13,-18.8386,-50.1214,87.94,51,20,5.73,few clouds
245,Manta,EC,2022-01-24 15:33:14,-0.95,-80.7333,80.38,69,100,4.61,overcast clouds
246,Cilegon,ID,2022-01-24 15:33:14,-6.0174,106.0538,80.49,79,94,11.07,overcast clouds
247,Esperance,AU,2022-01-24 15:33:14,-33.8667,121.9,62.44,87,32,11.18,scattered clouds
248,Teahupoo,PF,2022-01-24 15:33:15,-17.8333,-149.2667,71.56,79,100,16.2,overcast clouds
249,Wanning,CN,2022-01-24 15:33:15,18.8003,110.3967,71.69,89,18,3.58,few clouds
250,Medford,US,2022-01-24 15:33:15,42.3265,-122.8756,54.5,93,0,0.0,clear sky
251,Beloha,MG,2022-01-24 15:33:16,-25.1667,45.05,74.12,71,32,21.92,scattered clouds
252,San Patricio,US,2022-01-24 15:33:16,28.017,-97.5169,55.89,88,100,10.54,light rain
253,Dingle,PH,2022-01-24 15:33:17,10.9995,122.6711,74.84,92,100,8.28,overcast clouds
254,Port Blair,IN,2022-01-24 15:33:17,11.6667,92.75,75.24,83,40,0.0,mist
255,Sambava,MG,2022-01-24 15:33:17,-14.2667,50.1667,77.86,84,100,2.86,moderate rain
256,Glace Bay,CA,2022-01-24 15:33:18,46.1969,-59.957,30.38,95,100,5.99,overcast clouds
257,Lata,PT,2022-01-24 15:33:18,40.1629,-8.3327,60.93,46,0,2.8,clear sky
258,Honningsvag,NO,2022-01-24 15:33:19,70.9821,25.9704,29.95,69,40,33.38,light snow
259,Jiuquan,CN,2022-01-24 15:33:19,39.7432,98.5174,21.94,52,9,5.59,clear sky
